Geometry,N_train,Geometric_Error,Baseline_Error,Improvement_%,p_value
Sphere,50,0.059735 ± 0.000282,0.008695 ± 0.001572,-587.03,0.0000
Minkowski,50,0.032964 ± 0.001562,0.033266 ± 0.000729,0.91,0.6400
Sphere,100,0.060343 ± 0.000233,0.004729 ± 0.000777,-1176.11,0.0000
Minkowski,100,0.028280 ± 0.001184,0.028076 ± 0.001066,-0.72,0.3975
Sphere,200,0.060594 ± 0.000391,0.002156 ± 0.000259,-2710.24,0.0000
Minkowski,200,0.020681 ± 0.003540,0.018854 ± 0.004831,-9.69,0.2737
Sphere,400,0.059026 ± 0.000271,0.001042 ± 0.000052,-5567.37,0.0000
Minkowski,400,0.007044 ± 0.000690,0.007695 ± 0.000807,8.46,0.8024
Sphere,800,0.058593 ± 0.000449,0.000792 ± 0.000049,-7297.04,0.0000
Minkowski,800,0.005327 ± 0.000225,0.005441 ± 0.000185,2.10,0.7233
